Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Rasa (Taste),Guna (Qualities),Virya (Potency),Vipaka (Post-digestive Effect),Prabhava (Special Effect),Dosha Impact,Mapped_Ingredients
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,20,25,2,650,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chingri, Bhorta"
Bangalir Bhorta,West Bengal,Veg,None,200,25,7,10,3,300,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bangalir, Bhorta"
Shukto,West Bengal,Veg,None,150,20,6,4,5,200,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Shukto
Luchi Aloo,West Bengal,Veg,Gluten,300,40,15,6,2,300,Vitamin B,"Varies (Sweet/Astringent/Bitter); Sweet, Astringent","Light to Heavy, Dry to Oily (Varies); Heavy, Dry",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Pitta, aggravates Vata & Kapha","Luchi, Potato"
Macher Jhol,West Bengal,Non-Veg,None,250,10,15,20,3,500,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Macher, Jhol"
Aloo Dum,West Bengal,Veg,None,200,30,8,6,3,200,Vitamin C,"Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Dum"
Chingri Malai,West Bengal,Non-Veg,None,320,12,25,20,5,700,Vitamin A,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chingri, Malai"
Khichuri,West Bengal,Veg,None,250,40,8,8,2,300,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Khichuri
Patishapta,West Bengal,Veg,"Dairy, Gluten",180,25,5,10,12,150,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Patishapta
Rasgulla,West Bengal,Veg,Dairy,250,30,8,20,18,100,"Vitamin A, Vitamin B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Rasgulla
Sandesh,West Bengal,Veg,Dairy,150,20,4,8,10,90,Vitamin A,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Sandesh
Mutton Rezala,West Bengal,Non-Veg,None,400,10,35,25,6,850,Vitamin B12,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Rezala"
Pulao,West Bengal,Veg,None,250,35,8,5,2,250,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pulao
Jhalmuri,West Bengal,Veg,None,200,30,10,4,6,150,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Jhalmuri
Paturi,West Bengal,Non-Veg,None,270,12,20,22,3,600,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Paturi
Paatishapta,West Bengal,Veg,Dairy,200,25,6,12,15,150,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Paatishapta
Shingara,West Bengal,Veg,Gluten,240,30,12,6,3,250,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Shingara
Chingri Malai,West Bengal,Non-Veg,None,350,14,25,20,7,750,Vitamin A,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chingri, Malai"
Ghoogni,West Bengal,Veg,None,180,25,5,7,3,200,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Ghoogni
Kacha Mango Chutney,West Bengal,Veg,None,100,15,1,1,12,50,Vitamin C,"Varies (Sweet/Astringent/Bitter); Sweet (ripe), Sour (unripe)","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Aphrodisiac","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, aggravates Kapha & Pitta","Kacha, Mango"
Tandoori Murg,West Bengal,Non-Veg,None,300,8,20,25,2,700,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Tandoori, Murg"
Kacha Aam er Chatni,West Bengal,Veg,None,120,20,0,0,15,70,Vitamin C,"Varies (Sweet/Astringent/Bitter); Sweet (ripe), Sour (unripe)","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Aphrodisiac","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, aggravates Kapha & Pitta","Kacha, Mango, Chatni"
Labra,West Bengal,Veg,None,200,30,8,5,4,250,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Labra
Paturi Bhetki,West Bengal,Non-Veg,None,280,10,20,18,4,650,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Paturi, Bhetki"
Sukto,West Bengal,Veg,None,170,25,6,4,4,200,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Sukto
Methi Thepla,West Bengal,Veg,Gluten,220,35,10,8,3,300,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Methi, Thepla"
Vegetable Chop,West Bengal,Veg,None,250,30,12,7,5,300,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Chop"
Murgir Korma,West Bengal,Non-Veg,None,350,12,28,22,4,800,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Murgir, Korma"
Bhapa Ilish,West Bengal,Non-Veg,None,280,6,22,25,3,700,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Cabbage, Ilish"
Moong Dal,West Bengal,Veg,None,150,25,4,10,2,250,Vitamin B,"Astringent, Sweet","Light, Easy to Digest; Light, Dry",Cooling,Pungent,"Soothing, easy on digestion; Protein-rich, cleansing","Balances Pitta & Kapha, may aggravate Vata; Balances Kapha & Pitta, may aggravate Vata","Moong dal, Lentil"
Biryani,West Bengal,Non-Veg,None,400,45,15,20,5,700,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Biryani
Chingri Malai,West Bengal,Non-Veg,None,350,12,28,22,6,750,Vitamin A,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chingri, Malai"
Murgir Kasha,West Bengal,Non-Veg,None,400,10,30,25,7,800,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Murgir, Kasha"
Kolkata Kachori,West Bengal,Veg,Gluten,220,30,12,8,4,250,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kolkata, Kachori"
Aloo Bharta,West Bengal,Veg,None,180,25,6,5,3,200,Vitamin C,"Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Bharta"
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,18,25,2,650,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chingri, Bhorta"
Patishapta,West Bengal,Veg,Dairy,200,28,6,12,10,150,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Patishapta
Cholar Dal,West Bengal,Veg,None,180,28,5,10,4,250,Vitamin B,"Varies (Sweet/Astringent/Bitter); Astringent, Sweet","Light to Heavy, Dry to Oily (Varies); Light, Dry",Cooling,Sweet or Pungent; Pungent,"Nourishing, Satiety-giving; Protein-rich, cleansing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Kapha & Pitta, may aggravate Vata","Cholar, Lentil"
Ghoogni,West Bengal,Veg,None,190,26,6,7,3,220,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Ghoogni
Patishapta,West Bengal,Veg,Dairy,200,25,5,10,12,150,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Patishapta
Mughlai Paratha,West Bengal,Veg,Gluten,300,40,15,8,3,350,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Mughlai
Ghoogni,West Bengal,Veg,None,200,25,6,7,3,200,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Ghoogni
Aloo Keema,Uttarakhand,Non-Veg,None,350,30,20,15,5,500,"Vitamin A, B12","Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Keema"
Bhatt Ki Churkani,Uttarakhand,Veg,None,300,40,10,12,4,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bhatt, Churkani"
Chainsoo,Uttarakhand,Veg,None,250,35,8,14,3,350,"Vitamin B, Iron",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Chainsoo
Kumaoni Raita,Uttarakhand,Veg,Dairy,150,15,8,6,2,200,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kumaoni
Fruits and Nut Kheer,Uttarakhand,Veg,"Nuts, Dairy",400,50,18,25,10,250,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Fruits, Nut, Kheer"
Gahat Ki Dal,Uttarakhand,Veg,None,300,40,12,20,5,300,"Vitamin B, Iron","Varies (Sweet/Astringent/Bitter); Astringent, Sweet","Light to Heavy, Dry to Oily (Varies); Light, Dry",Cooling,Sweet or Pungent; Pungent,"Nourishing, Satiety-giving; Protein-rich, cleansing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Kapha & Pitta, may aggravate Vata","Gahat, Lentil"
Kandalee Saag,Uttarakhand,Veg,None,200,25,5,8,4,250,"Vitamin A, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Protein-rich; Nourishing, Satiety-giving","Balances Kapha & Pitta, may aggravate Vata; Generally balances Pitta, effects on Vata/Kapha vary","Kandalee, Saag"
Singori,Uttarakhand,Veg,Dairy,250,30,12,10,8,150,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Singori
Raita,Uttarakhand,Veg,Dairy,180,20,10,5,3,220,"Vitamin A, B12",,,,,,,
Chawal Ki Roti,Uttarakhand,Veg,None,280,45,8,6,2,300,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chawal, Roti"
Phaanu,Uttarakhand,Veg,None,300,40,10,15,4,350,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Phaanu
Kumaoni Bhatt,Uttarakhand,Veg,None,320,45,12,10,5,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kumaoni, Bhatt"
Kachma,Uttarakhand,Non-Veg,None,350,30,20,18,6,500,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kachma
Kumaoni Saag,Uttarakhand,Veg,None,180,20,5,7,4,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kumaoni, Saag"
Ghar Ka Achaar,Uttarakhand,Veg,None,100,10,4,6,2,150,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Ghar, Achaar"
Kundru,Uttarakhand,Veg,None,200,25,8,6,3,250,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kundru
Pindale,Uttarakhand,Veg,None,220,30,8,10,4,300,"Vitamin A, C","Astringent, Sweet","Light, Dry",Cooling,Pungent,Protein-rich,"Balances Kapha & Pitta, may aggravate Vata",Pindale
Pahadi Daal,Uttarakhand,Veg,None,250,35,10,12,5,350,"Vitamin B, Iron",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Pahadi, Daal"
Dum Aloo,Uttarakhand,Veg,None,320,45,12,15,4,400,"Vitamin A, C","Varies (Sweet/Astringent/Bitter); Sweet, Astringent","Light to Heavy, Dry to Oily (Varies); Heavy, Dry",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Pitta, aggravates Vata & Kapha","Dum, Potato"
Kandali Saag,Uttarakhand,Veg,None,190,20,5,7,3,220,"Vitamin A, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Protein-rich; Nourishing, Satiety-giving","Balances Kapha & Pitta, may aggravate Vata; Generally balances Pitta, effects on Vata/Kapha vary","Kandali, Saag"
Garhwal Keema,Uttarakhand,Non-Veg,None,400,30,25,20,7,600,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Garhwal, Keema"
Jhangora Ki Kheer,Uttarakhand,Veg,Dairy,350,50,15,20,5,300,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Jhangora, Kheer"
Aloo Tamatar,Uttarakhand,Veg,None,250,30,8,10,4,300,"Vitamin A, C","Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Tomato"
Chana Madra,Uttarakhand,Veg,None,300,40,10,12,5,350,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Madra"
Raita Pulao,Uttarakhand,Veg,Dairy,350,50,15,20,5,400,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pulao
Bedu Roti,Uttarakhand,Veg,None,280,45,8,8,3,300,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bedu, Roti"
Kumaoni Baadi,Uttarakhand,Veg,None,250,35,12,10,4,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kumaoni, Baadi"
Garhwal Meat Curry,Uttarakhand,Non-Veg,None,400,30,25,18,6,600,"Vitamin A, B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Garhwal, Meat"
Ragi Porridge,Uttarakhand,Veg,None,200,30,6,5,2,250,"Vitamin B, Iron",Sweet; Varies (Sweet/Astringent/Bitter),"Light, Soft; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Nourishing; Nourishing, Satiety-giving","Balances Vata & Pitta, may increase Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Ragi, Porridge"
Pulao,Uttarakhand,Veg,None,300,40,10,8,4,350,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pulao
Aloo Ghatta,Uttarakhand,Veg,None,270,35,10,12,3,320,"Vitamin A, C","Sweet, Astringent; Sweet","Heavy, Dry; Light, Soft",Cooling,Sweet,Satiety-giving; Nourishing,"Balances Pitta, aggravates Vata & Kapha; Balances Vata & Pitta, may increase Kapha","Potato, Ghatta"
Pahadi Samosa,Uttarakhand,Veg,None,250,30,12,10,4,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Pahadi, Samosa"
Kumaoni Pulao,Uttarakhand,Veg,None,350,50,15,20,5,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kumaoni, Pulao"
